date,value
6/14/2019,74.93
6/13/2019,75.19
6/12/2019,75.55
6/11/2019,75.53
6/10/2019,75.73
6/7/2019,75.62
6/6/2019,75.6
6/5/2019,75.59
6/4/2019,75.4
6/3/2019,75.06
5/31/2019,75.77
5/30/2019,75.8
5/29/2019,75.71
5/28/2019,75.77
5/27/2019,75.78
5/24/2019,75.63
5/23/2019,75.95
5/22/2019,76.07
5/21/2019,76.03
5/20/2019,76.14
5/17/2019,75.7
5/16/2019,75.92
5/15/2019,76.1
5/14/2019,75.89
5/13/2019,76.74
5/10/2019,76.69
5/9/2019,76.94
5/8/2019,77.29
5/7/2019,77.43
5/6/2019,77.13
5/3/2019,78.07
5/2/2019,78.15
5/1/2019,78.53
4/30/2019,78.78
4/29/2019,78.56
4/26/2019,78.32
4/25/2019,78.66
4/24/2019,79.45
4/23/2019,79.88
4/22/2019,80
4/19/2019,80.05
4/18/2019,80.42
4/17/2019,80.36
4/16/2019,80.36
4/15/2019,80.27
4/12/2019,79.56
4/11/2019,79.6
4/10/2019,79.17
4/9/2019,79.43
4/8/2019,79.38
4/5/2019,79.42
4/4/2019,79.3
4/3/2019,78.72
4/2/2019,79.2
4/1/2019,78.66
3/29/2019,78.27
3/28/2019,78.27
3/27/2019,78.92
3/26/2019,78.21
3/25/2019,77.84
3/22/2019,78.82
3/21/2019,78.78
3/20/2019,78.94
3/19/2019,79.15
3/18/2019,78.97
3/15/2019,78.92
3/14/2019,78.87
3/13/2019,78.85
3/12/2019,78.64
3/11/2019,78.33
3/8/2019,78.27
3/7/2019,78.59
3/6/2019,79.26
3/5/2019,79.26
3/4/2019,79.24
3/1/2019,79.01
2/28/2019,79.21
2/27/2019,79.45
2/26/2019,79.59
2/25/2019,78.88
2/22/2019,78.51
2/21/2019,79.4
2/20/2019,79.28
2/19/2019,78.88
2/18/2019,78.9
2/15/2019,78.49
2/14/2019,78.69
2/13/2019,78.39
2/12/2019,77.96
2/11/2019,77.79
2/8/2019,77.98
2/7/2019,78.15
2/6/2019,79.54
2/5/2019,79.42
2/4/2019,79.36
2/1/2019,79.18
1/31/2019,79.04
1/30/2019,78.28
1/29/2019,78.35
1/28/2019,78.64
1/25/2019,77.76
1/24/2019,78.28
1/23/2019,77.9
1/22/2019,78.51
1/21/2019,78.63
1/18/2019,78.6
1/17/2019,78.2
1/16/2019,78.25
1/15/2019,77.84
1/14/2019,78.31
1/11/2019,77.91
1/10/2019,77.56
1/9/2019,77.63
1/8/2019,77.69
1/7/2019,77.2
1/4/2019,75.42
1/3/2019,76.05
1/2/2019,76.95
1/1/2019,77.31
12/31/2018,77.64
12/28/2018,78.02
12/27/2018,78.59
12/26/2018,77.65
12/25/2018,77.88
12/24/2018,78.25
12/21/2018,79.11
12/20/2018,79.95
12/19/2018,80.79
12/18/2018,80.97
12/17/2018,81.34
12/14/2018,82.09
12/13/2018,81.79
12/12/2018,81.66
12/11/2018,81.49
12/10/2018,81.17
12/7/2018,81.52
12/6/2018,82.26
12/5/2018,82.76
12/4/2018,83.6
12/3/2018,82.97
11/30/2018,83.06
11/29/2018,83.04
11/28/2018,82.2
11/27/2018,82.02
11/26/2018,81.69
11/23/2018,81.91
11/22/2018,82.12
11/21/2018,81.35
11/20/2018,82.11
11/19/2018,82.71
11/16/2018,82.68
11/15/2018,82.18
11/14/2018,82.16
11/13/2018,81.67
11/12/2018,82.24
11/9/2018,82.77
11/8/2018,82.6
11/7/2018,82.18
11/6/2018,81.62
11/5/2018,81.45
11/2/2018,81.22
11/1/2018,79.87
10/31/2018,80.38
10/30/2018,79.3
10/29/2018,79.32
10/26/2018,79.59
10/25/2018,79.27
10/24/2018,79.66
10/23/2018,79.89
10/22/2018,80.09
10/19/2018,79.66
10/18/2018,80.09
10/17/2018,80.15
10/16/2018,79.7
10/15/2018,79.8
10/12/2018,79.91
10/11/2018,79.2
10/10/2018,80.22
10/9/2018,80.15
10/8/2018,80.17
10/5/2018,80.61
10/4/2018,81.34
10/3/2018,81.68
10/2/2018,82.29
10/1/2018,82.12
9/28/2018,81.72
9/27/2018,81.8
9/26/2018,81.91
9/25/2018,81.81
9/24/2018,82.06
9/21/2018,82
9/20/2018,81.56
9/19/2018,81.09
9/18/2018,80.32
9/17/2018,80.15
9/14/2018,80.51
9/13/2018,79.73
9/12/2018,79.39
9/11/2018,79.05
9/10/2018,78.89
9/7/2018,79.74
9/6/2018,80.21
9/5/2018,79.97
9/4/2018,80.13
9/3/2018,79.87
8/31/2018,80.51
8/30/2018,81.63
8/29/2018,81.58
8/28/2018,81.64
8/27/2018,81.5
8/24/2018,80.66
8/23/2018,81.23
8/22/2018,81.26
8/21/2018,80.73
8/20/2018,80.83
8/17/2018,80.53
8/16/2018,80.16
8/15/2018,80.48
8/14/2018,80.51
8/13/2018,80.93
8/10/2018,81.91
8/9/2018,82.5
