date,value
1/31/1992,0.5405
2/3/1992,0.5411
2/4/1992,0.5428
2/5/1992,0.5415
2/6/1992,0.5427
2/7/1992,0.5435
2/10/1992,0.542
2/11/1992,0.5406
2/12/1992,0.5405
2/13/1992,0.5421
2/14/1992,0.5417
2/18/1992,0.5411
2/19/1992,0.5429
2/20/1992,0.5442
2/21/1992,0.543
2/24/1992,0.5415
2/25/1992,0.5416
2/26/1992,0.5444
2/27/1992,0.5479
2/28/1992,0.547
3/2/1992,0.5479
3/3/1992,0.5476
3/4/1992,0.547
3/5/1992,0.5477
3/6/1992,0.5482
3/9/1992,0.548
3/10/1992,0.549
3/11/1992,0.549
3/12/1992,0.5487
3/13/1992,0.5477
3/16/1992,0.5468
3/17/1992,0.5477
3/18/1992,0.5493
3/19/1992,0.55
3/20/1992,0.5495
3/23/1992,0.5489
3/24/1992,0.5497
3/25/1992,0.551
3/26/1992,0.551
3/27/1992,0.55
3/30/1992,0.5485
3/31/1992,0.5464
4/1/1992,0.5445
4/2/1992,0.5465
4/3/1992,0.5475
4/6/1992,0.5445
4/7/1992,0.5437
4/8/1992,0.5434
4/9/1992,0.5448
4/10/1992,0.5445
4/13/1992,0.546
4/14/1992,0.5462
4/15/1992,0.5446
4/16/1992,0.5445
4/20/1992,0.5445
4/21/1992,0.5418
4/22/1992,0.539
4/23/1992,0.5342
4/24/1992,0.5352
4/27/1992,0.5359
4/28/1992,0.5389
4/29/1992,0.5397
4/30/1992,0.5381
5/1/1992,0.539
5/4/1992,0.5392
5/5/1992,0.539
5/6/1992,0.539
5/7/1992,0.538
5/8/1992,0.5382
5/11/1992,0.5343
5/12/1992,0.5333
5/13/1992,0.535
5/14/1992,0.5355
5/15/1992,0.5347
5/18/1992,0.5343
5/19/1992,0.534
5/20/1992,0.5335
5/21/1992,0.5345
5/22/1992,0.5354
5/26/1992,0.5362
5/27/1992,0.5365
5/28/1992,0.537
5/29/1992,0.5357
6/1/1992,0.5365
6/2/1992,0.536
6/3/1992,0.5385
6/4/1992,0.5378
6/5/1992,0.5393
6/8/1992,0.5413
6/9/1992,0.5444
6/10/1992,0.5434
6/11/1992,0.5443
6/12/1992,0.544
6/15/1992,0.5425
6/16/1992,0.5433
6/17/1992,0.5423
6/18/1992,0.5445
6/19/1992,0.547
6/22/1992,0.5451
6/23/1992,0.5446
6/24/1992,0.5459
6/25/1992,0.5455
6/26/1992,0.5432
6/29/1992,0.5447
6/30/1992,0.5448
7/1/1992,0.545
7/2/1992,0.5444
7/6/1992,0.5452
7/7/1992,0.5445
7/8/1992,0.546
7/9/1992,0.5459
7/10/1992,0.5463
7/13/1992,0.5475
7/14/1992,0.5482
7/15/1992,0.546
7/16/1992,0.5466
7/17/1992,0.549
7/20/1992,0.5496
7/21/1992,0.5481
7/22/1992,0.5495
7/23/1992,0.5493
7/24/1992,0.5488
7/27/1992,0.5466
7/28/1992,0.5464
7/29/1992,0.546
7/30/1992,0.5467
7/31/1992,0.5455
8/3/1992,0.5452
8/4/1992,0.545
8/5/1992,0.544
8/6/1992,0.5443
8/7/1992,0.5444
8/10/1992,0.5435
8/11/1992,0.5436
8/12/1992,0.5337
8/13/1992,0.5379
8/14/1992,0.5392
8/17/1992,0.5395
8/18/1992,0.5388
8/19/1992,0.5409
8/20/1992,0.54
8/21/1992,0.5402
8/24/1992,0.5391
8/25/1992,0.5416
8/26/1992,0.543
8/27/1992,0.5422
8/28/1992,0.5411
8/31/1992,0.54
9/1/1992,0.5405
9/2/1992,0.5407
9/3/1992,0.5418
9/4/1992,0.5428
9/8/1992,0.5391
9/9/1992,0.5413
9/10/1992,0.5437
9/11/1992,0.547
9/14/1992,0.5533
9/15/1992,0.5455
9/16/1992,0.5492
9/17/1992,0.5453
9/18/1992,0.5435
9/21/1992,0.5367
9/22/1992,0.5385
9/23/1992,0.5397
9/24/1992,0.5373
9/25/1992,0.5387
9/28/1992,0.5369
9/29/1992,0.5379
9/30/1992,0.5375
10/1/1992,0.5412
10/2/1992,0.5445
10/5/1992,0.546
10/6/1992,0.5447
10/7/1992,0.542
10/8/1992,0.5418
10/9/1992,0.5417
10/12/1992,0.5432
10/13/1992,0.5449
10/14/1992,0.5441
10/15/1992,0.5428
10/16/1992,0.5414
10/19/1992,0.54
10/20/1992,0.5386
10/21/1992,0.539
10/22/1992,0.5412
10/23/1992,0.5417
10/26/1992,0.5369
10/27/1992,0.5343
10/28/1992,0.5291
10/29/1992,0.5289
10/30/1992,0.5252
11/2/1992,0.5252
11/3/1992,0.5273
11/4/1992,0.5247
11/5/1992,0.525
11/6/1992,0.5302
11/9/1992,0.5257
11/10/1992,0.5233
11/11/1992,0.5231
11/12/1992,0.5255
11/13/1992,0.5253
11/16/1992,0.5213
11/17/1992,0.5177
11/18/1992,0.5168
11/19/1992,0.5147
11/20/1992,0.5165
11/23/1992,0.5146
11/24/1992,0.5161
11/25/1992,0.518
11/27/1992,0.516
11/30/1992,0.5123
12/1/1992,0.5142
12/2/1992,0.515
12/3/1992,0.5184
12/4/1992,0.5179
12/7/1992,0.5151
12/8/1992,0.5181
12/9/1992,0.5191
12/10/1992,0.516
12/11/1992,0.5174
12/14/1992,0.5157
12/15/1992,0.5173
12/16/1992,0.5196
12/17/1992,0.5188
12/18/1992,0.5187
12/21/1992,0.518
12/22/1992,0.5158
12/23/1992,0.5158
12/24/1992,0.5155
12/28/1992,0.515
12/29/1992,0.5148
12/30/1992,0.5135
12/31/1992,0.5145
1/4/1993,0.5113
1/5/1993,0.5079
1/6/1993,0.5073
1/7/1993,0.5098
1/8/1993,0.5107
1/11/1993,0.5136
1/12/1993,0.5137
1/13/1993,0.5117
1/14/1993,0.5129
1/15/1993,0.5141
1/18/1993,0.515
1/19/1993,0.514
1/20/1993,0.5135
1/21/1993,0.5141
1/22/1993,0.516
1/25/1993,0.5172
1/26/1993,0.518
1/27/1993,0.516
1/28/1993,0.5187
1/29/1993,0.5176
2/1/1993,0.5135
2/2/1993,0.516
2/3/1993,0.5152
2/4/1993,0.5162
2/5/1993,0.5135
2/8/1993,0.511
2/9/1993,0.5101
2/10/1993,0.5129
2/11/1993,0.5147
2/12/1993,0.514
2/16/1993,0.5157
2/17/1993,0.5168
2/18/1993,0.517
2/19/1993,0.5173
2/22/1993,0.5202
2/23/1993,0.525
2/24/1993,0.5241
2/25/1993,0.5235
2/26/1993,0.5245
3/1/1993,0.5276
3/2/1993,0.528
3/3/1993,0.5277
3/4/1993,0.5317
3/5/1993,0.5295
3/8/1993,0.5263
3/9/1993,0.5275
3/10/1993,0.5267
3/11/1993,0.5268
3/12/1993,0.529
3/15/1993,0.527
3/16/1993,0.5307
3/17/1993,0.5332
3/18/1993,0.5352
3/19/1993,0.5338
3/22/1993,0.534
3/23/1993,0.5312
3/24/1993,0.5329
3/25/1993,0.5335
3/26/1993,0.5351
3/29/1993,0.5333
3/30/1993,0.5343
3/31/1993,0.5325
4/1/1993,0.5295
4/2/1993,0.53
4/5/1993,0.5328
4/6/1993,0.534
4/7/1993,0.5365
4/8/1993,0.5389
4/12/1993,0.541
4/13/1993,0.5429
4/14/1993,0.5431
4/15/1993,0.5397
4/16/1993,0.5386
4/19/1993,0.5412
4/20/1993,0.541
4/21/1993,0.5413
4/22/1993,0.5398
4/23/1993,0.5444
4/26/1993,0.547
4/27/1993,0.5444
4/28/1993,0.545
4/29/1993,0.5434
4/30/1993,0.5415
5/3/1993,0.5415
5/4/1993,0.5412
5/5/1993,0.5442
5/6/1993,0.5459
5/7/1993,0.5474
5/10/1993,0.544
5/11/1993,0.5432
5/12/1993,0.5433
5/13/1993,0.5446
5/14/1993,0.5439
5/17/1993,0.5431
5/18/1993,0.539
5/19/1993,0.5395
5/20/1993,0.542
5/21/1993,0.5448
5/24/1993,0.544
5/25/1993,0.548
5/26/1993,0.5475
5/27/1993,0.545
5/28/1993,0.5422
6/1/1993,0.541
6/2/1993,0.5413
6/3/1993,0.5424
6/4/1993,0.5379
6/7/1993,0.5362
6/8/1993,0.5346
6/9/1993,0.5367
6/10/1993,0.5374
6/11/1993,0.5422
6/14/1993,0.5423
6/15/1993,0.5434
6/16/1993,0.5438
6/17/1993,0.5419
6/18/1993,0.5419
6/21/1993,0.5429
6/22/1993,0.5403
6/23/1993,0.5387
6/24/1993,0.5362
6/25/1993,0.5384
6/28/1993,0.5369
6/29/1993,0.5387
6/30/1993,0.5373
7/1/1993,0.5414
7/2/1993,0.5432
7/6/1993,0.5444
7/7/1993,0.5465
7/8/1993,0.5514
7/9/1993,0.5498
7/12/1993,0.5492
7/13/1993,0.5492
7/14/1993,0.5483
7/15/1993,0.5504
7/16/1993,0.5485
7/19/1993,0.5468
7/20/1993,0.5492
7/21/1993,0.5496
7/22/1993,0.5498
7/23/1993,0.5512
7/26/1993,0.5529
7/27/1993,0.5529
7/28/1993,0.5506
7/29/1993,0.5532
7/30/1993,0.5539
8/2/1993,0.5508
8/3/1993,0.5518
8/4/1993,0.5525
8/5/1993,0.5504
8/6/1993,0.5505
8/9/1993,0.5473
8/10/1993,0.55
8/11/1993,0.5491
8/12/1993,0.5511
8/13/1993,0.5519
8/16/1993,0.5534
8/17/1993,0.555
8/18/1993,0.5537
8/19/1993,0.5537
8/20/1993,0.5537
8/23/1993,0.5522
8/24/1993,0.5526
8/25/1993,0.5568
8/26/1993,0.556
8/27/1993,0.5536
8/30/1993,0.5522
8/31/1993,0.5537
9/1/1993,0.5527
9/2/1993,0.5488
9/3/1993,0.5442
9/7/1993,0.5492
9/8/1993,0.5527
9/9/1993,0.5522
9/10/1993,0.5518
9/13/1993,0.5511
9/14/1993,0.5527
9/15/1993,0.5516
9/16/1993,0.5514
9/17/1993,0.5524
9/20/1993,0.5526
9/21/1993,0.5541
9/22/1993,0.5554
9/23/1993,0.5554
9/24/1993,0.5549
9/27/1993,0.5529
9/28/1993,0.5526
9/29/1993,0.5509
9/30/1993,0.5501
10/1/1993,0.5507
10/4/1993,0.5496
10/5/1993,0.5465
10/6/1993,0.5474
10/7/1993,0.5505
10/8/1993,0.5516
10/11/1993,0.5528
10/12/1993,0.5528
10/13/1993,0.5536
10/14/1993,0.5518
10/15/1993,0.5505
10/18/1993,0.5529
10/19/1993,0.5558
10/20/1993,0.5564
10/21/1993,0.556
10/22/1993,0.5569
10/25/1993,0.556
10/26/1993,0.5559
10/27/1993,0.5555
10/28/1993,0.5548
10/29/1993,0.5545
11/1/1993,0.5552
11/2/1993,0.5546
11/3/1993,0.5555
11/4/1993,0.5557
11/5/1993,0.5576
11/8/1993,0.5441
11/9/1993,0.5437
11/10/1993,0.5399
11/11/1993,0.5407
11/12/1993,0.5389
11/15/1993,0.5421
11/16/1993,0.5407
11/17/1993,0.5505
11/18/1993,0.5488
