,Localtime,Open,High,Low,Close,Volume,strtime,index2
39,2019-09-18 14:19:00,220.398,213.29681538461543,219.988,220.048,2.7625,09/18 14:19,2
40,2019-09-18 14:20:00,220.048,211.19681538461546,219.458,219.458,3.195,09/18 14:20,2
41,2019-09-18 14:21:00,219.457,210.05681538461548,219.428,219.84799999999998,3.0075,09/18 14:21,2
42,2019-09-18 14:22:00,219.847,211.61681538461542,219.83700000000002,220.048,2.8125,09/18 14:22,2
43,2019-09-18 14:23:00,220.047,211.19081538461543,219.727,219.828,2.375,09/18 14:23,2
44,2019-09-18 14:24:00,219.828,210.8968153846154,219.817,219.907,1.97,09/18 14:24,2
45,2019-09-18 14:25:00,219.89700000000002,211.31681538461535,219.80700000000002,219.937,2.945,09/18 14:25,3
46,2019-09-18 14:26:00,219.937,211.37681538461547,219.857,219.868,2.235,09/18 14:26,3
47,2019-09-18 14:27:00,219.868,211.31681538461535,219.858,219.977,2.3775,09/18 14:27,3
48,2019-09-18 14:28:00,219.977,211.2568153846154,219.938,219.97799999999998,2.45,09/18 14:28,3
49,2019-09-18 14:29:00,219.938,210.59681538461533,219.798,219.877,2.8375,09/18 14:29,3
50,2019-09-18 14:30:00,219.877,210.4168153846155,219.668,219.847,3.045,09/18 14:30,3
51,2019-09-18 14:31:00,219.838,212.7568153846154,219.688,220.238,3.6675,09/18 14:31,3
52,2019-09-18 14:32:00,220.238,212.33681538461545,219.918,219.97799999999998,2.62,09/18 14:32,3
53,2019-09-18 14:33:00,219.988,212.33681538461545,219.937,220.238,3.3375,09/18 14:33,3
54,2019-09-18 14:34:00,220.248,213.6508153846154,220.077,220.447,3.4675,09/18 14:34,3
55,2019-09-18 14:35:00,220.388,213.59681538461533,220.05700000000002,220.128,3.2575,09/18 14:35,3
56,2019-09-18 14:36:00,220.128,212.03681538461538,219.84799999999998,220.128,2.7325,09/18 14:36,3
57,2019-09-18 14:37:00,220.138,212.15681538461544,219.968,220.09799999999998,2.1675,09/18 14:37,3
58,2019-09-18 14:38:00,220.09799999999998,212.03681538461538,220.02700000000002,220.047,2.4275,09/18 14:38,3
59,2019-09-18 14:39:00,220.047,212.15681538461544,219.878,220.148,2.7175,09/18 14:39,3
60,2019-09-18 14:40:00,220.14700000000002,213.7168153846154,220.048,220.33700000000002,3.1675,09/18 14:40,4
61,2019-09-18 14:41:00,220.358,214.19081538461543,220.28799999999998,220.47799999999998,2.5025,09/18 14:41,4
62,2019-09-18 14:42:00,220.47799999999998,215.57081538461554,220.378,220.77700000000002,3.3725,09/18 14:42,4
63,2019-09-18 14:43:00,220.78799999999998,215.7568153846154,220.407,220.608,3.4625,09/18 14:43,4
64,2019-09-18 14:44:00,220.607,214.91081538461546,220.487,220.58700000000002,1.8175,09/18 14:44,4
65,2019-09-18 14:45:00,220.597,214.4908153846155,220.207,220.308,2.84,09/18 14:45,4
66,2019-09-18 14:46:00,220.30700000000002,213.11681538461542,219.918,220.077,3.2125,09/18 14:46,4
67,2019-09-18 14:47:00,220.058,211.2568153846154,219.61700000000002,219.738,2.665,09/18 14:47,4
68,2019-09-18 14:48:00,219.688,210.29081538461557,219.688,219.80700000000002,2.265,09/18 14:48,4
69,2019-09-18 14:49:00,219.817,211.67681538461537,219.77700000000002,220.03799999999998,3.3925,09/18 14:49,4
70,2019-09-18 14:50:00,220.018,212.3968153846154,220.017,220.188,3.135,09/18 14:50,4
71,2019-09-18 14:51:00,220.197,214.01081538461543,220.188,220.457,3.1425,09/18 14:51,4
72,2019-09-18 14:52:00,220.457,214.85681538461537,220.408,220.588,2.7325,09/18 14:52,4
73,2019-09-18 14:53:00,220.607,215.87081538461544,220.58700000000002,220.748,4.0,09/18 14:53,4
74,2019-09-18 14:54:00,220.768,216.05681538461548,220.748,220.80700000000002,2.4825,09/18 14:54,4
75,2019-09-18 14:55:00,220.808,216.05681538461548,220.547,220.638,2.8825,09/18 14:55,5
76,2019-09-18 14:56:00,220.64700000000002,214.79681538461543,220.468,220.628,2.0325,09/18 14:56,5
77,2019-09-18 14:57:00,220.628,214.9168153846155,220.55700000000002,220.648,1.68,09/18 14:57,5
78,2019-09-18 14:58:00,220.64700000000002,215.87081538461544,220.618,220.708,2.32,09/18 14:58,5
79,2019-09-18 14:59:00,220.707,215.87681538461547,220.64700000000002,220.798,2.075,09/18 14:59,5
80,2019-09-18 15:00:00,220.797,217.2568153846154,220.717,221.017,2.6775,09/18 15:00,5
81,2019-09-18 15:01:00,221.018,217.01681538461546,220.877,220.878,2.3625,09/18 15:01,5
82,2019-09-18 15:02:00,220.877,216.59081538461547,220.668,220.857,2.5575,09/18 15:02,5
83,2019-09-18 15:03:00,220.84799999999998,216.05081538461545,220.718,220.81799999999998,2.57,09/18 15:03,5
84,2019-09-18 15:04:00,220.828,216.77081538461547,220.797,220.838,3.155,09/18 15:04,5
85,2019-09-18 15:05:00,220.83700000000002,216.77681538461533,220.80700000000002,220.938,3.1175,09/18 15:05,5
86,2019-09-18 15:06:00,220.938,217.01681538461546,220.92700000000002,221.018,2.01,09/18 15:06,5
87,2019-09-18 15:07:00,221.028,218.51681538461546,221.017,221.268,2.43,09/18 15:07,5
88,2019-09-18 15:08:00,221.25799999999998,220.73681538461548,221.25799999999998,221.56799999999998,2.57,09/18 15:08,5
89,2019-09-18 15:09:00,221.56799999999998,220.31681538461535,221.417,221.418,1.94,09/18 15:09,5
90,2019-09-18 15:10:00,221.428,220.67681538461537,221.428,221.56799999999998,2.345,09/18 15:10,6
91,2019-09-18 15:11:00,221.59799999999998,220.97681538461543,221.518,221.628,2.54,09/18 15:11,6
92,2019-09-18 15:12:00,221.648,221.7568153846154,221.618,221.628,2.1425,09/18 15:12,6
93,2019-09-18 15:13:00,221.61700000000002,220.85681538461537,221.55700000000002,221.588,2.005,09/18 15:13,6
94,2019-09-18 15:14:00,221.58700000000002,220.61081538461556,221.467,221.588,1.7275,09/18 15:14,6
95,2019-09-18 15:15:00,221.59799999999998,220.73681538461548,221.518,221.528,1.42,09/18 15:15,6
96,2019-09-18 15:16:00,221.528,220.55081538461545,221.467,221.56799999999998,1.815,09/18 15:16,6
97,2019-09-18 15:17:00,221.567,221.15681538461544,221.53799999999998,221.708,2.005,09/18 15:17,6
